CD_EMPRESA;ANO;DS_FINANCIAMENTO;VL_FINANCIAMENTO;CD_INDICE;TX_MULTIPLICADOR_INDICE;TX_ADICIONAL;CD_INDICE_2;TX_MULTIPLICADOR_INDICE_2;TX_ADICIONAL_2;CD_INDICE_FIM;TX_MULTIPLICADOR_INDICE_FIM;TX_ADICIONAL_FIM;;;;
31;2013;Pré-Pagamento; 1.272.489 ;;;2,25;;;;;;;;;;
31;2013;Pré-Pagamento; 1.484.048 ;;;5,5;;;;;;;;;;
31;2013;Bônus Perpétuos; 2.345.789 ;;;7;;;;;;;;;;
31;2013;Fixed Rate Notes; 5.661.978 ;;;7,2;;;;;;;;;;
31;2013;BNDES/FINAME; 12.356 ;31;100;2,2;;;;;;;;;;
31;2013;Outros; 492.149 ;;;5,9;;;;;;;;;;
31;2013;BNDES/FINAME; 1.059.728 ;8;100;2,35;;;;;;;;;;
31;2013;Debêntures; 2.778.887 ;1;105,8;0,85;;;;1;110,8;0,85;;;;
31;2013;Pré-Pagamento; 5.446.330 ;1;106,5;;;;;1;110,79;;;;;
31;2013;CCB; 7.285.436 ;1;112,5;;;;;;;;;;;
31;2014;Pré-Pagamento; 2.685.046 ;;;2,25;;;;;;;;;;
31;2014;Pré-Pagamento; 1.725.660 ;;;5,5;;;;;;;;;;
31;2014;Bônus Perpétuos; 2.659.815 ;;;7;;;;;;;;;;
31;2014;Fixed Rate Notes; 6.232.986 ;;;7,2;;;;;;;;;;
31;2014;Outros; 438.874 ;;;4,6;;;;;;;;;;
31;2014;BNDES/FINAME; 1.051.222 ;8;100;2,35;;;;;;;;;;
31;2014;Debêntures; 2.397.411 ;1;105,8;;;;;1;110,8;;;;;
31;2014;Pré-Pagamento; 5.463.870 ;1;106,5;;;;;1;110,79;;;;;
31;2014;CCB; 7.302.340 ;1;112,5;;;;;;;;;;;
31;2015;Pré-Pagamento; 2.840.794 ;;;2,25;;;;;;;;;;
31;2015;Pré-Pagamento; 3.716.203 ;;;5,75;;;;;;;;;;
31;2015;Bônus Perpétuos; 3.910.115 ;;;7;;;;;;;;;;
31;2015;Fixed Rate Notes; 7.086.760 ;;;7,2;;;;;;;;;;
31;2015;Forfaiting; 288.772 ;;;2,27;;;;;;;;;;
31;2015;Outros; 541.229 ;;;4,6;;;;;;;;;;
31;2015;BNDES/FINAME ; 1.073.624 ;8;100;1,3;;;;;;;;;;
31;2015;Debêntures; 1.810.670 ;1;110,8;;;;;1;113,7;;;;;
31;2015;Pré-Pagamento; 5.722.418 ;1;109,5;;;;;1;116,5;;;;;
31;2015;CCB; 7.292.976 ;1;112,5;;;;;1;113,5;;;;;
31;2016;Pré-Pagamento (*); 593.291 ;;;2,25;;;;;;;;;;
31;2016;Pré-Pagamento (*); 4.728.864 ;;;5,75;;;;;;;;;;
31;2016;Bônus Perpétuos; 3.263.536 ;;;7;;;;;;;;;;
31;2016;Fixed Rate Notes (*); 5.666.506 ;;;7,2;;;;;;;;;;
31;2016;Outros; 355.245 ;;;4,6;;;;;;;;;;
31;2016;BNDES/FINAME ; 1.086.004 ;8;100;1,3;;;;;;;;;;
31;2016;Debêntures; 1.808.386 ;1;110,8;;;;;1;113,7;;;;;
31;2016;Pré-Pagamento; 5.650.778 ;1;109,5;;;;;1;116,5;;;;;
31;2016;CCB; 7.381.143 ;1;112,5;;;;;1;113,5;;;;;
31;2017;Pré-Pagamento; 491.758 ;;;2,25;;;;;;;;;;
31;2017;Pré-Pagamento; 4.396.914 ;;;5,75;;;;;;;;;;
31;2017;Bonds Perpétuos; 3.312.503 ;;;7;;;;;;;;;;
31;2017;Bonds; 5.751.526 ;;;7,2;;;;;;;;;;
31;2017;ACC; 379.822 ;;;3,14;;;;;;;;;;
31;2017;Outros; 448.760 ;;;4,6;;;;;;;;;;
31;2017;BNDES/FINAME ; 1.031.993 ;8;100;1,3;;;;;;;;;;
31;2017;Debêntures; 1.294.019 ;1;110,8;;;;;1;113,7;;;;;
31;2017;Pré-Pagamento; 4.149.100 ;1;109,5;;;;;1;116,5;;;;;
31;2017;CCB; 7.294.352 ;1;112,5;;;;;1;113,5;;;;;
31;2018;US$; 15.950.646 ;;;5,88;;;;;;;;;;
31;2018;R$; 12.704.504 ;;;8,19;;;;;;;;;;
31;2018;EUR; 287.591 ;;;3,88;;;;;;;;;;
32;2013;BNDES-ProjetoMA1100; 587.343 ;8;100;4,5;;;;;;;;;;
32;2013;BNDES-Outros; 1.005.568 ;8;100;4,5;;;;;;;;;;
32;2013;Notasdecréditoàexportação(emR$); 483.914 ;1;100;0,6;;;;;;;;;;
32;2013;Outros; 135.376 ;;;3,9;;;;;;;;;;
32;2013;BNDES-Outros; 151.241 ;11;100;6;;;;;;;;;;
32;2013;Prépagamentosexportação; 3.380.185 ;11;100;3,75;4;100;;;;;;;;
32;2013;Notasdecréditoàexportação; 1.219.970 ;11;100;6;;;;;;;;;;
32;2014;BNDES-ProjetoMA1100; 335.061 ;8;100;2;;;;;;;;;;
32;2014;BNDES-ProjetoPuma; 202.276 ;8;100;2,5;;;;;;;;;;
32;2014;BNDES-Outros; 824.437 ;8;100;4,8;;;;;;;;;;
32;2014;BNDES-FINAME; 387.387 ;;;3,5;;;;;;;;;;
32;2014;Notasdecréditoàexportação(emR$); 817.799 ;1;100;;;;;;;;;;;
32;2014;Outros; 219.372 ;;;3,9;;;;;;;;;;
32;2014;BNDES-ProjetoPuma; 183.243 ;11;100;6,6;;;;;;;;;;
32;2014;BNDES-Outros; 222.275 ;11;100;6,3;;;;;;;;;;
32;2014;Prépagamentosexportação; 3.792.639 ;11;100;3,75;4;100;;;;;;;;
32;2014;Notasdecréditoàexportação; 1.281.572 ;11;100;7;;;;;;;;;;
32;2014;Prépagamentosexportaçãoc/controladas; 538.112 ;11;100;4,4;;;;;;;;;;
32;2014;Outros; 14.183 ;11;100;1,9;;;;;;;;;;
32;2014;Bonds(Notes); 1.359.864 ;11;100;5,2;;;;;;;;;;
32;2014;Debentures 1a serie; 399.996 ;5;100;7,25;;;;;;;;;;
32;2014;Debentures 2a serie; 399.996 ;5;100;2,5;;;;;;;;;;
32;2014;Debentures sexta emissao; 1.700.000 ;11;100;8;;;;;;;;;;
32;2015;BNDES-ProjetoMA1100; 41.454 ;8;100;2;;;;;;;;;;
32;2015;BNDES-ProjetoPuma; 1.738.796 ;;;6;;;;8;100;2,48;;;;
32;2015;BNDES-Outros; 603.902 ;8;100;4,8;;;;;;;;;;
32;2015;BNDES-FINAME; 420.193 ;;;6,39;;;;;;;;;;
32;2015;Notasdecréditoàexportação(emR$); 1.181.179 ;1;100;;;;;;;;;;;
32;2015;Outros; 228.688 ;;;3,9;;;;;;;;;;
32;2015;BNDES-ProjetoPuma; 1.004.600 ;11;100;6,6;;;;;;;;;;
32;2015;BNDES-Outros; 335.049 ;11;100;4,21;;;;;;;;;;
