;Nome;Classe;Bolsa / Fonte;Tipo de Ativo;"Ativo /
Cancelado";Código;"Participação
no Ibovespa

em %";"Segmento listagem
Bovespa";Subsetor Bovespa;"Data do Bal
 do pri balanco
 consolid:sim*";BETA_2013;BETA_2014;BETA_2015;BETA_2016;BETA_2017;BETA_2018
1;Vale;ON;Bovespa;Ação;ativo;VALE3;8,539;Novo Mercado;Mineração;31/12/1986;0,9237652;0,2551173;1,6149206;2,0127309;1,2576174;0,0871454
2;Petrobras;PN;Bovespa;Ação;ativo;PETR4;6,872;Nível 2;Petróleo, gás e biocombustíveis;31/12/1986;1,7542063;2,1238142;2,3879446;2,7319889;1,0944550;1,8959403
3;Ambev S/A;ON;Bovespa;Ação;ativo;ABEV3;4,502;Tradicional;Bebidas;31/12/1986;-0,0444249;0,2627833;0,1493482;0,1187488;0,4671942;0,6132217
4;JBS;ON;Bovespa;Ação;ativo;JBSS3;2,657;Novo Mercado;Alimentos processados;31/12/2004;0,7668420;1,0689944;0,5094813;-0,5413649;2,5012757;0,0631652
5;Lojas Renner;ON;Bovespa;Ação;ativo;LREN3;2,192;Novo Mercado;Comércio;31/12/1986;1,0885600;0,7523533;1,3700979;0,7466083;0,5718896;0,9555775
6;BRF SA;ON;Bovespa;Ação;ativo;BRFS3;1,679;Novo Mercado;Alimentos processados;31/03/1986;0,3722600;0,8119114;-0,1195784;0,5776093;0,3754803;1,2058101
7;Suzano S.A.;ON;Bovespa;Ação;ativo;SUZB3;1,427;Novo Mercado;Madeira e papel;31/12/1986;-0,0700000;-0,4000000;-0,0200000;-0,8500000;0,5000000;-0,5700000
8;Rumo S.A.;ON;Bovespa;Ação;ativo;RAIL3;1,421;Novo Mercado;Transporte;31/12/1997;0,7359142;0,8819721;2,1259721;1,7308944;1,4198981;0,9324641
9;Localiza;ON;Bovespa;Ação;ativo;RENT3;1,354;Novo Mercado;Diversos;31/12/2004;0,5699225;0,6926860;0,6338449;1,0700360;0,7010309;1,1649620
10;Magaz Luiza;ON;Bovespa;Ação;ativo;MGLU3;1,252;Novo Mercado;Comércio;31/12/2010;3,4489566;0,5177125;0,2120697;1,2715782;3,7760470;0,3619092
11;Telef Brasil;PN;Bovespa;Ação;ativo;VIVT4;1,238;Tradicional;Telecomunicações;31/12/1986;0,2534308;0,4353432;0,7072794;0,5756353;0,6782408;0,4833694
12;RaiaDrogasil;ON;Bovespa;Ação;ativo;RADL3;1,203;Novo Mercado;Comércio e distribuição;31/12/1997;-0,3027507;0,5767963;0,9953374;0,3182342;-0,3164395;-0,0617212
13;Ultrapar;ON;Bovespa;Ação;ativo;UGPA3;1,162;Novo Mercado;Petróleo, gás e biocombustíveis;31/12/1998;0,2937797;0,7813121;0,6215182;0,5356923;-0,2015661;0,8434913
14;Equatorial;ON;Bovespa;Ação;ativo;EQTL3;1,119;Novo Mercado;Energia elétrica;31/12/2005;1,0189227;0,4411976;0,5375103;0,3740591;0,6987788;1,1807930
15;CCR SA;ON;Bovespa;Ação;ativo;CCRO3;1,094;Novo Mercado;Transporte;31/12/1999;0,7024278;1,2395812;0,5883938;0,7145902;0,7199305;1,2427605
16;Weg;ON;Bovespa;Ação;ativo;WEGE3;0,978;Novo Mercado;Máquinas e equipamentos;31/12/1986;-0,1144450;0,3214972;0,0536974;0,3473648;0,1621818;0,1843578
17;Sabesp;ON;Bovespa;Ação;ativo;SBSP3;0,956;Novo Mercado;Água e saneamento;31/03/1996;0,6988074;0,7098236;1,1875807;0,5084931;0,2739509;1,4922229
18;Cogna ON;ON;Bovespa;Ação;ativo;COGN3;0,890;Novo Mercado;Diversos;30/06/2007;-0,1819698;1,0345492;0,6052150;1,2203839;0,9043257;1,2325679
19;Lojas Americ;PN;Bovespa;Ação;ativo;LAME4;0,790;Nível 1;Comércio;31/12/1986;0,6698974;0,9225983;0,5340959;0,6000093;2,0192251;0,9962667
20;Hypera;ON;Bovespa;Ação;ativo;HYPE3;0,773;Novo Mercado;Comércio e distribuição;31/12/2006;1,2721911;0,8754731;0,5839864;0,4431857;0,6160668;0,6140704
21;Gerdau;PN;Bovespa;Ação;ativo;GGBR4;0,760;Nível 1;Siderurgia e metalurgia;31/12/1986;1,0703598;0,5339040;1,0508749;2,7467332;1,3912963;0,9788674
22;Cemig;PN;Bovespa;Ação;ativo;CMIG4;0,750;Nível 1;Energia elétrica;31/12/1986;0,3101790;1,3048090;1,4249200;1,5101116;1,6525735;1,3850323
23;Embraer;ON;Bovespa;Ação;ativo;EMBR3;0,709;Novo Mercado;Material de transporte;31/12/1986;-1,0374185;-0,3126720;0,1127055;-0,1839086;1,5390906;-0,4323312
