Data;Ano;Último;Abertura;Máxima;Mínima;Vol.;Var%;;
28.12.2018;2018;87.887,26;85.469,47;88.044,02;85.469,47;3,76M;2,84%;;
27.12.2018;2018;85.460,20;85.140,60;85.738,96;84.876,08;3,94M;0,38%;;15,0%
26.12.2018;2018;85.136,10;85.684,26;85.684,26;83.891,74;3,46M;-0,65%;;
21.12.2018;2018;85.697,15;85.268,82;86.554,05;85.134,12;6,26M;0,50%;;
20.12.2018;2018;85.269,29;85.678,06;86.583,73;84.755,68;6,29M;-0,47%;;
19.12.2018;2018;85.673,52;86.616,59;88.101,07;85.673,52;5,84M;-1,08%;;
18.12.2018;2018;86.610,49;86.400,35;87.274,15;86.400,35;4,22M;0,24%;;
17.12.2018;2018;86.399,68;87.448,03;87.819,90;86.327,69;3,97M;-1,20%;;
14.12.2018;2018;87.449,50;87.837,59;88.183,93;87.106,12;3,66M;-0,44%;;
13.12.2018;2018;87.837,59;86.979,07;87.842,49;86.856,34;3,77M;0,99%;;
12.12.2018;2018;86.977,46;86.419,92;87.945,65;86.419,92;5,16M;0,65%;;
11.12.2018;2018;86.419,57;85.918,08;87.520,48;85.583,05;4,53M;0,59%;;
10.12.2018;2018;85.914,71;88.115,07;88.384,22;85.914,71;4,21M;-2,50%;;
07.12.2018;2018;88.115,07;88.849,12;89.985,99;87.907,38;4,62M;-0,82%;;
06.12.2018;2018;88.846,48;88.932,58;88.932,58;87.025,06;4,51M;-0,22%;;
05.12.2018;2018;89.039,79;88.644,17;89.111,20;88.448,91;2,88M;0,47%;;
04.12.2018;2018;88.624,45;89.820,09;90.452,48;88.041,23;5,03M;-1,33%;;
03.12.2018;2018;89.820,09;89.511,16;91.242,22;89.429,17;6,12M;0,35%;;
30.11.2018;2018;89.504,03;89.709,12;90.245,54;89.257,73;6,95M;-0,23%;;
29.11.2018;2018;89.709,56;89.249,06;89.909,58;88.475,27;4,39M;0,51%;;
28.11.2018;2018;89.250,82;87.891,18;89.482,93;87.153,47;5,46M;1,55%;;
27.11.2018;2018;87.891,18;85.547,48;88.017,90;85.376,78;5,12M;2,74%;;
26.11.2018;2018;85.546,51;86.237,45;87.147,38;84.904,74;4,70M;-0,79%;;
23.11.2018;2018;86.230,22;87.479,45;87.479,45;85.762,82;4,28M;-1,43%;;
22.11.2018;2018;87.477,44;87.268,68;87.656,37;87.221,67;2,31M;0,24%;;
21.11.2018;2018;87.268,80;87.896,13;87.896,13;86.254,21;4,27M;-0,72%;;
19.11.2018;2018;87.900,83;88.472,47;88.483,65;87.046,54;3,75M;-0,69%;;
16.11.2018;2018;88.515,27;85.974,89;88.516,46;85.974,89;5,34M;2,96%;;
14.11.2018;2018;85.973,06;84.898,40;85.973,06;84.267,01;5,76M;1,25%;;
13.11.2018;2018;84.914,11;85.531,13;85.940,63;84.071,39;4,55M;-0,71%;;
12.11.2018;2018;85.524,70;85.643,90;86.227,44;85.009,29;3,64M;-0,14%;;
09.11.2018;2018;85.641,21;85.620,13;86.233,42;84.030,36;4,96M;0,02%;;
08.11.2018;2018;85.620,13;87.719,45;88.569,70;85.620,13;5,46M;-2,39%;;
07.11.2018;2018;87.714,35;88.676,31;89.564,71;87.540,86;4,51M;-1,08%;;
06.11.2018;2018;88.668,92;89.587,02;89.587,02;88.065,84;4,50M;-1,04%;;
05.11.2018;2018;89.598,16;88.418,37;89.598,16;88.347,26;4,76M;1,33%;;
01.11.2018;2018;88.419,05;87.427,56;89.017,37;87.094,01;6,06M;1,14%;;
31.10.2018;2018;87.423,55;86.888,69;88.028,20;86.213,13;6,07M;0,62%;;
30.10.2018;2018;86.885,71;83.801,52;86.989,63;83.801,52;6,76M;3,69%;;
29.10.2018;2018;83.796,71;85.728,47;88.377,16;82.782,96;7,97M;-2,24%;;
26.10.2018;2018;85.719,87;84.083,51;85.719,87;83.497,17;6,67M;1,95%;;
25.10.2018;2018;84.083,51;83.124,32;84.830,92;83.124,32;5,53M;1,23%;;
24.10.2018;2018;83.063,56;85.301,87;85.786,21;83.034,85;4,82M;-2,62%;;
23.10.2018;2018;85.300,03;85.595,34;85.595,34;84.032,43;4,52M;-0,35%;;
22.10.2018;2018;85.596,69;84.221,85;85.772,47;84.221,85;3,99M;1,63%;;
19.10.2018;2018;84.219,74;83.845,35;84.954,41;83.666,71;3,87M;0,44%;;
